first_name,last_name,gender,past_3_years_bike_related_purchases,job_title,job_industry_category,wealth_segment,owns_car,tenure,postcode,state,country,property_valuation,Rank,Value,age
Briant,Ladley,Male,75,Recruiter,Argiculture,Mass Customer,No,12,2750,NSW,Australia,8,57,1.375,40.0
Marylou,Kirkup,Female,51,VP Product Management,Entertainment,Mass Customer,No,14,3196,VIC,Australia,9,57,1.375,47.0
Whittaker,Kirkup,Male,64,Media Manager III,Financial Services,Mass Customer,Yes,8,3156,VIC,Australia,5,57,1.375,53.0
Normy,Goodinge,Male,5,Associate Professor,IT,Mass Customer,No,4,3810,VIC,Australia,5,57,1.375,29.0
Lorrie,Antonelli,Male,47,Cost Accountant,Financial Services,High Net Worth,Yes,17,2257,NSW,Australia,7,57,1.375,37.0
Jedediah,Kedie,Male,31,Developer I,Argiculture,Mass Customer,Yes,9,2763,NSW,Australia,9,62,1.36796875,48.0
Kaine,Smallcombe,Male,59,Senior Financial Analyst,Financial Services,High Net Worth,No,11,2072,NSW,Australia,10,62,1.36796875,78.0
Loise,Iltchev,Female,70,Electrical Engineer,Manufacturing,High Net Worth,Yes,17,4504,QLD,Australia,6,62,1.36796875,53.0
Cristen,Maroney,Female,22,Accountant IV,IT,High Net Worth,Yes,7,4214,QLD,Australia,7,65,1.3625,20.0
Dorothy,Barnardo,Female,58,Human Resources Manager,Retail,High Net Worth,No,12,2168,NSW,Australia,8,65,1.3625,37.0
Rosmunda,Duxbarry,Female,69,Executive Secretary,Property,Affluent Customer,Yes,5,4208,QLD,Australia,11,65,1.3625,23.0
Rozamond,Riha,Female,54,Account Representative I,Manufacturing,Affluent Customer,Yes,16,4078,QLD,Australia,7,68,1.3546875,35.0
Gunner,Petti,Male,62,Executive Secretary,Financial Services,High Net Worth,Yes,3,4036,QLD,Australia,5,68,1.3546875,21.0
Vivienne,Crayden,Female,82,Associate Professor,Manufacturing,High Net Worth,Yes,6,4173,QLD,Australia,7,68,1.3546875,31.0
Sherilyn,Canero,Female,11,Dental Hygienist,Health,High Net Worth,Yes,13,2484,NSW,Australia,7,68,1.3546875,23.0
Bessie,Roscow,Female,78,GIS Technical Architect,Financial Services,Mass Customer,No,9,2121,NSW,Australia,10,72,1.35,25.0
Kevina,Ferandez,Female,73,Assistant Professor,Financial Services,High Net Worth,No,15,4068,QLD,Australia,9,72,1.35,20.0
Yancy,Clementet,Male,5,Mechanical Systems Engineer,Property,High Net Worth,No,15,2147,NSW,Australia,9,72,1.35,52.0
Mabelle,Wellbelove,Female,76,Executive Secretary,Financial Services,Affluent Customer,Yes,19,2219,NSW,Australia,9,72,1.35,62.0
Hasheem,Groucock,Male,98,Budget/Accounting Analyst IV,Manufacturing,High Net Worth,Yes,10,2034,NSW,Australia,12,72,1.35,45.0
Tobias,Woodhams,Male,0,Research Nurse,Health,Mass Customer,No,17,2759,NSW,Australia,9,77,1.34140625,59.0
Glennis,Flintoff,Female,36,Speech Pathologist,Health,Affluent Customer,Yes,13,3030,VIC,Australia,7,78,1.3375,63.0
Chanda,Mensler,Female,15,Computer Systems Analyst IV,Manufacturing,Mass Customer,Yes,13,2212,NSW,Australia,10,78,1.3375,48.0
Katheryn,Kinner,Female,15,Analyst Programmer,Entertainment,High Net Worth,No,6,2518,NSW,Australia,6,78,1.3375,46.0
Sumner,Carrivick,Male,53,Desktop Support Technician,Manufacturing,Mass Customer,No,15,2097,NSW,Australia,12,78,1.3375,25.0
Valerie,Pickover,Female,34,Editor,Financial Services,Mass Customer,No,9,2756,NSW,Australia,8,78,1.3375,54.0
Esther,Rooson,Female,14,VP Accounting,Financial Services,Mass Customer,No,5,2046,NSW,Australia,9,78,1.3375,39.0
Gardie,Crellim,Male,58,Biostatistician IV,Manufacturing,High Net Worth,No,8,3161,VIC,Australia,12,84,1.328125,44.0
Sean,O'Loughlin,Male,48,Database Administrator III,Manufacturing,High Net Worth,Yes,16,2576,NSW,Australia,10,85,1.325,59.0
Pietra,Buckleigh,Female,9,Engineer III,Health,High Net Worth,No,13,2024,NSW,Australia,10,85,1.325,71.0
Marysa,Rouchy,Female,8,Assistant Media Planner,Entertainment,Affluent Customer,No,5,2026,NSW,Australia,9,85,1.325,21.0
Kahaleel,Rouchy,Male,5,GIS Technical Architect,Manufacturing,High Net Worth,No,13,2035,NSW,Australia,12,88,1.31484375,77.0
Ossie,Midden,Male,49,Physical Therapy Assistant,Manufacturing,Mass Customer,Yes,14,2479,NSW,Australia,9,89,1.3125,70.0
Sid,Carlone,Male,24,Structural Engineer,Health,Affluent Customer,No,16,4670,QLD,Australia,2,89,1.3125,48.0
Ludovico,Juster,Male,93,Environmental Specialist,Retail,Affluent Customer,No,15,2125,NSW,Australia,10,89,1.3125,28.0
Patricia,Everix,Female,34,Director of Sales,Health,Mass Customer,No,19,2263,NSW,Australia,7,89,1.3125,42.0
Andromache,Bonafacino,Female,84,Tax Accountant,Retail,Mass Customer,No,11,2015,NSW,Australia,9,89,1.3125,42.0
Levy,Abramamov,Male,94,Teacher,Property,Affluent Customer,Yes,14,4037,QLD,Australia,8,89,1.3125,67.0
Nobe,McAughtry,Male,25,Engineer IV,Manufacturing,Mass Customer,No,12,4510,QLD,Australia,5,89,1.3125,41.0
Jehu,Prestedge,Male,91,Developer II,Manufacturing,High Net Worth,Yes,8,2138,NSW,Australia,12,96,1.3,20.0
Symon,Mawne,Male,18,Human Resources Assistant IV,Property,Mass Customer,Yes,15,3350,VIC,Australia,4,96,1.3,77.0
Karlik,Penchen,Male,60,Nurse Practicioner,Retail,Mass Customer,No,11,4017,QLD,Australia,6,96,1.3,25.0
Bengt,Bilson,Male,26,Structural Engineer,Manufacturing,High Net Worth,No,11,2232,NSW,Australia,10,99,1.296875,47.0
Evangelin,Boc,Female,30,Structural Analysis Engineer,Manufacturing,High Net Worth,Yes,14,3173,VIC,Australia,8,99,1.296875,20.0
Hanny,Treven,Female,84,Associate Professor,Retail,Mass Customer,No,3,4118,QLD,Australia,4,99,1.296875,29.0
Gina,Mallon,Female,56,Dental Hygienist,Health,Mass Customer,No,12,4670,QLD,Australia,2,102,1.28828125,26.0
Reynold,Elman,Male,19,Marketing Manager,Manufacturing,Mass Customer,No,9,2390,NSW,Australia,2,102,1.28828125,80.0
Flossy,Concannon,Female,64,Staff Accountant IV,Financial Services,Affluent Customer,No,8,3919,VIC,Australia,2,104,1.2875,39.0
Cristen,Wiltshire,Female,59,VP Sales,Financial Services,High Net Worth,Yes,15,3047,VIC,Australia,6,104,1.2875,58.0
Griffith,Escot,Male,50,Accountant III,IT,Mass Customer,Yes,16,4116,QLD,Australia,3,104,1.2875,73.0
Jamie,Jiruca,Female,21,Recruiting Manager,Argiculture,Mass Customer,No,18,2230,NSW,Australia,9,104,1.2875,57.0
Lyon,Brittan,Male,14,Sales Representative,Retail,High Net Worth,No,19,3153,VIC,Australia,8,104,1.2875,48.0
Aridatha,Sephton,Female,95,Human Resources Assistant II,Manufacturing,Mass Customer,No,5,2340,NSW,Australia,1,104,1.2875,58.0
Michal,Bryan,Female,1,Desktop Support Technician,Manufacturing,Mass Customer,Yes,16,4000,QLD,Australia,8,104,1.2875,50.0
Franciska,Stigell,Female,95,Food Chemist,Health,Mass Customer,Yes,7,3802,VIC,Australia,7,111,1.28125,51.0
Jordan,Clampe,Male,37,Staff Scientist,Financial Services,Mass Customer,Yes,11,4207,QLD,Australia,5,111,1.28125,80.0
David,Napoleon,Male,72,Structural Engineer,Telecommunications,High Net Worth,No,14,2223,NSW,Australia,11,111,1.28125,58.0
Meriel,Tapp,Female,0,VP Sales,IT,Mass Customer,No,5,3280,VIC,Australia,2,114,1.275,24.0
Dolley,Starmont,Female,53,Geologist IV,Manufacturing,Affluent Customer,No,18,4129,QLD,Australia,6,114,1.275,42.0
Frederik,Milan,Male,45,Desktop Support Technician,Health,Mass Customer,No,5,2546,NSW,Australia,5,114,1.275,22.0
Rollo,Louedey,Male,64,Information Systems Manager,Telecommunications,Affluent Customer,Yes,17,2089,NSW,Australia,9,114,1.275,74.0
Jerrine,Cosbey,Female,21,Junior Executive,Financial Services,High Net Worth,Yes,6,3094,VIC,Australia,9,114,1.275,42.0
Roddy,Rubinshtein,Male,37,Nurse Practicioner,Retail,Mass Customer,Yes,4,4510,QLD,Australia,7,114,1.275,32.0
Viki,Coutts,Female,2,Automation Specialist II,Property,Mass Customer,Yes,7,2287,NSW,Australia,4,120,1.2625,67.0
Ashby,Bispham,Male,71,Software Consultant,Retail,Affluent Customer,No,4,2145,NSW,Australia,8,120,1.2625,38.0
Alexander,Broadbent,Male,57,Desktop Support Technician,Financial Services,Mass Customer,No,9,2209,NSW,Australia,10,120,1.2625,23.0
Teddy,Lagadu,Female,86,Design Engineer,IT,High Net Worth,No,6,2759,NSW,Australia,8,120,1.2625,50.0
Peria,Rantoull,Female,3,Financial Analyst,Financial Services,Mass Customer,No,4,4500,QLD,Australia,4,120,1.2625,45.0
Ludvig,Andren,Male,44,Media Manager III,Financial Services,High Net Worth,Yes,15,4306,QLD,Australia,5,125,1.26171875,79.0
Elsworth,Abbitt,Male,71,Director of Sales,Health,Mass Customer,Yes,6,3500,VIC,Australia,3,125,1.26171875,64.0
Rebeca,Aggas,Female,66,Social Worker,Health,Affluent Customer,No,21,3818,VIC,Australia,1,127,1.25,67.0
Ricki,Dobrowski,Male,13,Civil Engineer,Manufacturing,Mass Customer,Yes,9,2835,NSW,Australia,1,127,1.25,45.0
Georgetta,Lovett,Female,42,Editor,Retail,Mass Customer,No,12,4405,QLD,Australia,1,127,1.25,80.0
Bambi,Cogger,Female,51,Design Engineer,Retail,Affluent Customer,Yes,5,2560,NSW,Australia,7,127,1.25,30.0
Aurie,Rhead,Female,78,Geological Engineer,Manufacturing,Affluent Customer,Yes,5,2650,NSW,Australia,2,127,1.25,57.0
Farris,Skettles,Male,38,Payment Adjustment Coordinator,Financial Services,Mass Customer,Yes,13,3240,VIC,Australia,7,132,1.2484375,55.0
Sharline,Abyss,Female,11,Budget/Accounting Analyst IV,Financial Services,Mass Customer,Yes,15,4011,QLD,Australia,4,133,1.2375,60.0
Nowell,Preddy,Male,29,Administrative Officer,Manufacturing,Mass Customer,No,9,2173,NSW,Australia,9,133,1.2375,34.0
Lacy,Drance,Female,27,Graphic Designer,Manufacturing,Affluent Customer,Yes,14,2750,NSW,Australia,8,133,1.2375,42.0
Padraig,Snel,Male,89,Staff Accountant II,Health,Mass Customer,No,19,2114,NSW,Australia,7,133,1.2375,49.0
Malorie,Votier,Female,90,Graphic Designer,Manufacturing,Affluent Customer,No,4,4509,QLD,Australia,5,133,1.2375,30.0
Shepperd,Ricards,Male,28,Social Worker,Health,Mass Customer,Yes,16,2284,NSW,Australia,4,133,1.2375,52.0
Daryl,Pauncefort,Female,12,Community Outreach Specialist,Financial Services,Mass Customer,Yes,12,2380,NSW,Australia,3,133,1.2375,41.0
Norina,Blakeway,Female,60,Programmer Analyst II,Property,Mass Customer,Yes,3,3081,VIC,Australia,8,133,1.2375,40.0
My,Chaston,Male,92,Desktop Support Technician,Manufacturing,Affluent Customer,Yes,16,3765,VIC,Australia,9,133,1.2375,54.0
Isak,Bergstram,Male,14,Pharmacist,Health,Affluent Customer,Yes,15,2176,NSW,Australia,9,142,1.23515625,19.0
Grannie,Cracker,Male,28,VP Marketing,Retail,Mass Customer,Yes,20,4217,QLD,Australia,8,142,1.23515625,71.0
Welby,Lourenco,Male,6,Senior Cost Accountant,Financial Services,High Net Worth,Yes,17,2138,NSW,Australia,9,144,1.234375,44.0
Glenn,Casbourne,Female,4,Senior Editor,Manufacturing,Mass Customer,No,6,4207,QLD,Australia,1,144,1.234375,38.0
Nadiya,Balasini,Female,40,Sales Associate,Financial Services,Mass Customer,No,15,2164,NSW,Australia,9,146,1.225,69.0
Tyne,Coate,Female,82,Developer II,Manufacturing,Mass Customer,No,17,2218,NSW,Australia,8,146,1.225,55.0
Christie,Anders,Male,38,VP Marketing,Retail,Mass Customer,No,16,2153,NSW,Australia,10,146,1.225,50.0
Agnella,Capener,Female,58,Teacher,Health,High Net Worth,No,19,3977,VIC,Australia,6,146,1.225,51.0
Bernardine,Delmonti,Female,39,Analog Circuit Design manager,Property,Mass Customer,No,17,2540,NSW,Australia,8,146,1.225,49.0
Daisy,Spowart,Female,60,Staff Accountant I,Health,Affluent Customer,Yes,4,4570,QLD,Australia,3,146,1.225,52.0
Denys,Minshall,Female,30,Environmental Tech,Manufacturing,Affluent Customer,Yes,14,2324,NSW,Australia,8,152,1.221875,58.0
Archibald,Blessed,Male,61,VP Sales,Financial Services,Mass Customer,Yes,18,2016,NSW,Australia,11,153,1.21875,51.0
Feodor,Englishby,Male,54,Account Coordinator,Health,Mass Customer,No,11,3201,VIC,Australia,5,154,1.203125,58.0
Skippie,Yearsley,Male,6,Compensation Analyst,Financial Services,Mass Customer,No,9,4350,QLD,Australia,5,155,1.2,63.0
Bill,Yearsley,Female,74,Human Resources Assistant II,Property,Mass Customer,Yes,19,2170,NSW,Australia,9,155,1.2,57.0
Tessa,Friese,Female,89,Health Coach II,Financial Services,Mass Customer,No,21,4212,QLD,Australia,9,157,1.1953125,43.0
Roseanne,Caruth,Female,16,Programmer Analyst III,Health,Mass Customer,No,7,2763,NSW,Australia,9,158,1.1875,63.0
Tedra,Goodbanne,Female,4,Senior Quality Engineer,IT,Mass Customer,Yes,6,3934,VIC,Australia,9,158,1.1875,42.0
Roberto,Harme,Male,27,Environmental Tech,Financial Services,High Net Worth,No,10,2564,NSW,Australia,9,158,1.1875,69.0
Nichole,Leisman,Male,37,Geologist III,Property,Affluent Customer,No,4,2068,NSW,Australia,12,158,1.1875,33.0
Amil,Ennor,Female,23,Health Coach II,Health,Mass Customer,Yes,10,3109,VIC,Australia,11,158,1.1875,24.0
Shawna,Hinrichsen,Female,60,Assistant Professor,Manufacturing,Affluent Customer,Yes,9,2326,NSW,Australia,2,163,1.18203125,50.0
Fonsie,Levane,Male,96,Account Representative III,Argiculture,High Net Worth,Yes,19,4011,QLD,Australia,3,163,1.18203125,69.0
Emilie,Brody,Female,3,Director of Sales,Health,Mass Customer,Yes,3,2073,NSW,Australia,11,163,1.18203125,41.0
Robert,Corkill,Male,55,Clinical Specialist,Health,Mass Customer,No,4,2227,NSW,Australia,10,166,1.175,44.0
Elvira,Kurten,Female,65,Assistant Professor,Financial Services,High Net Worth,No,12,2471,NSW,Australia,3,166,1.175,47.0
Juliana,Mitchenson,Female,55,Environmental Tech,Manufacturing,Mass Customer,Yes,8,4350,QLD,Australia,4,166,1.175,31.0
Regine,Bownes,Female,99,Senior Developer,Retail,Affluent Customer,No,15,3752,VIC,Australia,9,166,1.175,68.0
Abner,Fraschetti,Male,33,Staff Scientist,Argiculture,Affluent Customer,No,13,3805,VIC,Australia,7,166,1.175,34.0
Alvira,Coulman,Female,42,Account Representative II,Health,Affluent Customer,No,14,2205,NSW,Australia,9,166,1.175,65.0
Sawyer,Sponton,Male,36,Help Desk Technician,Property,Mass Customer,Yes,10,2126,NSW,Australia,11,166,1.175,64.0
Feodor,Vickers,Male,60,VP Quality Control,Financial Services,Mass Customer,Yes,4,2209,NSW,Australia,6,173,1.171875,30.0
Paten,Cayet,Male,56,Assistant Manager,Manufacturing,Affluent Customer,Yes,16,3850,VIC,Australia,1,174,1.16875,25.0
Loria,Tappington,Female,72,Research Assistant IV,Property,Mass Customer,No,5,3038,VIC,Australia,8,174,1.16875,64.0
Tanya,Kiefer,Female,54,Speech Pathologist,Telecommunications,High Net Worth,No,7,2146,NSW,Australia,9,174,1.16875,28.0
Devonne,Alderwick,Female,79,Research Associate,Retail,High Net Worth,Yes,9,3122,VIC,Australia,7,177,1.1625,81.0
Omero,McDonand,Male,51,Software Consultant,Manufacturing,Mass Customer,No,16,2066,NSW,Australia,9,177,1.1625,68.0
Iain,Haversham,Male,92,Sales Representative,Retail,Mass Customer,Yes,13,2120,NSW,Australia,10,177,1.1625,69.0
Keriann,Newham,Female,71,Assistant Manager,Financial Services,Mass Customer,No,5,4179,QLD,Australia,9,177,1.1625,45.0
Conroy,Rappaport,Male,39,Assistant Manager,Health,High Net Worth,No,9,2148,NSW,Australia,9,181,1.158125,55.0
Dorian,Rustman,Male,78,Junior Executive,Manufacturing,Mass Customer,No,18,4352,QLD,Australia,7,181,1.158125,45.0
Quillan,Guinane,Male,36,Community Outreach Specialist,Health,High Net Worth,Yes,21,2177,NSW,Australia,8,181,1.158125,74.0
Harlin,Mazin,Male,34,Computer Systems Analyst I,Manufacturing,Mass Customer,Yes,13,2454,NSW,Australia,7,181,1.158125,46.0
Eustacia,Dornan,Female,68,Account Representative IV,Property,Mass Customer,No,5,3806,VIC,Australia,9,181,1.158125,34.0
Maury,Galego,Male,65,Social Worker,Health,High Net Worth,Yes,3,3032,VIC,Australia,10,181,1.158125,27.0
Reggie,Kernar,Female,26,Senior Editor,Financial Services,High Net Worth,No,17,2228,NSW,Australia,10,181,1.158125,48.0
Brigitte,Whellams,Female,67,Payment Adjustment Coordinator,Health,Mass Customer,Yes,17,2766,NSW,Australia,8,188,1.15625,47.0
Kinna,Kollasch,Female,7,Safety Technician I,Property,High Net Worth,No,9,4060,QLD,Australia,10,188,1.15625,33.0
Maurizio,Comi,Male,74,VP Product Management,IT,Affluent Customer,No,10,2766,NSW,Australia,9,190,1.15546875,24.0
Elbertina,Fendley,Female,32,Physical Therapy Assistant,Property,Affluent Customer,No,8,2117,NSW,Australia,11,191,1.15,28.0
Franklin,Wohler,Male,55,Clinical Specialist,Health,Mass Customer,Yes,7,2250,NSW,Australia,8,191,1.15,81.0
Allyson,Petchell,Female,16,Human Resources Manager,Telecommunications,High Net Worth,No,10,2170,NSW,Australia,8,191,1.15,50.0
Ermentrude,Heindle,Female,47,GIS Technical Architect,Argiculture,Mass Customer,No,7,2226,NSW,Australia,10,191,1.15,50.0
Alanna,Lerway,Female,26,Dental Hygienist,Health,Mass Customer,Yes,11,3195,VIC,Australia,12,195,1.1475,76.0
Vincent,Jopke,Male,6,Analog Circuit Design manager,Property,Affluent Customer,No,16,3687,VIC,Australia,3,195,1.1475,48.0
Mandie,Jeffryes,Female,60,Business Systems Development Analyst,Financial Services,High Net Worth,No,7,4109,QLD,Australia,9,195,1.1475,39.0
Collete,Dory,Female,66,Information Systems Manager,Property,High Net Worth,No,2,2210,NSW,Australia,9,195,1.1475,30.0
Leonid,Dorricott,Male,44,Environmental Tech,IT,Affluent Customer,No,3,2448,NSW,Australia,3,195,1.1475,26.0
Charlena,Berney,Female,55,Geological Engineer,Manufacturing,High Net Worth,Yes,12,4207,QLD,Australia,4,195,1.1475,54.0
Alfonso,Massel,Male,70,Research Assistant IV,Property,Mass Customer,Yes,13,3977,VIC,Australia,7,201,1.1421875,79.0
Engracia,Dobbs,Female,84,Software Consultant,Health,Mass Customer,No,15,2250,NSW,Australia,8,202,1.140625,61.0
Glyn,Dobbs,Male,47,General Manager,Manufacturing,Affluent Customer,Yes,21,2300,NSW,Australia,9,202,1.140625,75.0
Rosemonde,Cartwight,Female,44,Analyst Programmer,Retail,Mass Customer,Yes,7,4605,QLD,Australia,1,202,1.140625,67.0
Alano,Satchel,Male,2,Recruiting Manager,Financial Services,Mass Customer,No,2,2429,NSW,Australia,7,202,1.140625,21.0
Corrine,Baribal,Female,19,Senior Sales Associate,Manufacturing,Affluent Customer,Yes,12,2170,NSW,Australia,8,206,1.1375,71.0
Benoit,Harniman,Male,31,Research Assistant II,Telecommunications,Affluent Customer,No,9,4018,QLD,Australia,7,206,1.1375,43.0
Jeanne,Darte,Female,70,Business Systems Development Analyst,Health,Mass Customer,Yes,11,2756,NSW,Australia,7,206,1.1375,64.0
Jenelle,Fearnill,Female,12,Social Worker,Health,High Net Worth,No,19,2144,NSW,Australia,9,206,1.1375,62.0
Tannie,Gambrell,Male,92,Financial Analyst,Financial Services,Affluent Customer,No,4,4710,QLD,Australia,4,206,1.1375,53.0
Mick,Macewan,Male,32,Senior Cost Accountant,Financial Services,Mass Customer,No,16,2032,NSW,Australia,10,206,1.1375,52.0
Abbie,Oldman,Male,82,Pharmacist,Health,High Net Worth,Yes,5,2168,NSW,Australia,8,212,1.136875,36.0
Tabbie,Curner,Male,12,Chief Design Engineer,Retail,Mass Customer,No,6,3021,VIC,Australia,6,212,1.136875,23.0
Shane,Killen,Male,28,Account Executive,Entertainment,High Net Worth,No,10,2165,NSW,Australia,8,212,1.136875,63.0
